Gene	Protein.type	BW208	BW208	BW208
TraesCS6A02G048900	Alpha gliadin	0.26484	0.10927	0
TraesCS6A02G049066	Alpha gliadin	0.652935	0.0265235	0.0237248
TraesCS6A02G049100	Alpha gliadin	527.868	62.876	39.4337
TraesCS6A02G049200	Alpha gliadin	385.137	48.8798	23.4206
TraesCS6A02G049400	Alpha gliadin	3.26541	0.904653	0.312157
TraesCS6A02G049500	Alpha gliadin	1.26456	0.0365333	0.0243437
TraesCS6A02G049600	Alpha gliadin	158.482	13.0284	4.66446
TraesCS6A02G049700	Alpha gliadin	90.0861	7.91698	4.8702
TraesCS6A02G049800	Alpha gliadin	638.155	109.088	52.142
TraesCS6B02G065536	Alpha gliadin	27.7616	1.1606	3.30516
TraesCS6B02G065578	Alpha gliadin	22.8144	5.34101	2.95003
TraesCS6B02G065600	Alpha gliadin	246.732	17.6989	16.2851
TraesCS6B02G065749	Alpha gliadin	84.2927	8.35341	4.8223
TraesCS6B02G065800	Alpha gliadin	64.8286	6.23795	6.42004
TraesCS6B02G065856	Alpha gliadin	2898.58	246.55	162.983
TraesCS6B02G065900	Alpha gliadin	19.7744	4.23497	1.39793
TraesCS6B02G065993	Alpha gliadin	24.2267	1.37E-07	7.52E-08
TraesCS6B02G066000	Alpha gliadin	1648.89	672.902	155.619
TraesCS6B02G066001	Alpha gliadin	14.4419	7.75389	2.70495
TraesCS6B02G066100	Alpha gliadin	33.8179	3.72554	7.89392
TraesCS6B02G086500	Alpha gliadin	104.728	22.7953	15.4925
TraesCS6B02G086522	Alpha gliadin	22.2209	3.7898	1.92291
TraesCSU02G108000	Alpha gliadin	67.3299	13.5154	8.66062
TraesCSU02G108100	Alpha gliadin	1076.97	117.385	56.8138
TraesCSU02G108200	Alpha gliadin	66.5661	7.04436	7.70033
TraesCSU02G108205	Alpha gliadin	5346.27	631.41	434.786
TraesCSU02G108300	Alpha gliadin	388.442	32.6106	16.7063
TraesCSU02G108363	Alpha gliadin	16.9896	1.5768	1.7404
TraesCSU02G108400	Alpha gliadin	1511.22	127.474	81.1256
TraesCSU02G108500	Alpha gliadin	962.148	72.1763	44.4557
TraesCSU02G108600	Alpha gliadin	23.1579	2.94091	2.68073
TraesCSU02G108700	Alpha gliadin	2479.84	315.362	207.08
TraesCSU02G149933	Alpha gliadin	34.7101	0.845576	2.60823
TraesCSU02G149938	Alpha gliadin	1436.21	181.456	74.4988
TraesCSU02G149946	Alpha gliadin	989.058	80.602	52.281
TraesCSU02G149951	Alpha gliadin	46.8369	6.45927	3.13356
TraesCSU02G153800	Alpha gliadin	0.0397138	0	0
TraesCSU02G160200	Alpha gliadin	0.101528	0	0
TraesCSU02G188800	Alpha gliadin	846.984	77.7311	41.9507
TraesCSU02G202177	Alpha gliadin	1.36E-07	1.65701	2.78631
TraesCSU02G220200	Alpha gliadin	52.4545	2.1431	2.6314
TraesCSU02G220600	Alpha gliadin	284.929	26.7589	11.1573
TraesCSU02G239000	Alpha gliadin	1166.34	94.3271	68.5709
TraesCSU02G251939	Alpha gliadin	262.531	36.0872	18.4552
TraesCSU02G255529	Alpha gliadin	233.949	22.8444	7.27779
TraesCSU02G257591	Alpha gliadin	7435.41	815.73	484.476
TraesCSU02G265913	Alpha gliadin	0	0	1.31578
TraesCSU02G267761	Alpha gliadin	2843.4	274.485	143.484
TraesCS1A02G007200	Gamma gliadin	12.5196	1.04805	0.603987
TraesCS1A02G007236	Gamma gliadin	0	0	0
TraesCS1A02G007300	Gamma gliadin	832.788	98.7566	87.1075
TraesCS1A02G007344	Gamma gliadin	13.3732	2.16643	1.21605
TraesCS1A02G007400	Gamma gliadin	5105.16	736.653	380.623
TraesCS1A02G007405	Gamma gliadin	1.51602	0.156021	0.132321
TraesCS1B02G009877	Gamma gliadin	0	0	0.0375119
TraesCS1B02G010400	Gamma gliadin	4050.8	454.788	314.519
TraesCS1B02G010500	Gamma gliadin	251.061	61.2652	32.0571
TraesCS1B02G010600	Gamma gliadin	13.8398	0.571432	1.73392
TraesCS1B02G010700	Gamma gliadin	58.2672	9.11856	6.10027
TraesCS1B02G010800	Gamma gliadin	3327.77	334.991	288.893
TraesCS1B02G010900	Gamma gliadin	70.0017	8.78997	6.71625
TraesCS1B02G011000	Gamma gliadin	1953.4	254.655	99.3146
TraesCS1D02G001000	Gamma gliadin	558.49	56.0402	36.9766
TraesCS1D02G001100	Gamma gliadin	1285.98	172.933	98.335
TraesCS1D02G001200	Gamma gliadin	4440.13	503.041	405.251
TraesCS1D02G001300	Gamma gliadin	274.908	36.8017	16.5908
TraesCS1D02G001400	Gamma gliadin	2321.55	295.632	223.718
