Genotype	p31-43	DQ2.5_glia_a1a	DQ2.5_glia_a1b	DQ2.5_glia_a2	DQ2.5_glia_a3
ACA201	28.99	50.08	15.79	42.66	31.38
ACA202	28.14	49.66	15.59	42.95	31.26
ACA321	16.66	29.55	10.89	26.62	19.4
ACA903B	17.59	28.97	8.3	22.55	20.17
Antequera	17.35	31.35	10.79	27.49	19.97
ANZA	18.42	30.17	8.78	23.46	20.78
ARAGON03	27.68	37.54	5.92	16.05	34.55
ArturNick	28.62	36.85	5.52	14.63	35.22
Aucan	31.19	22.18	0	0.72	23.27
Baquette9	36.45	50.38	8.95	23.09	45.91
BIOINTA1001	16.83	30.49	9.69	26.04	19.14
BIOINTA1004	17.48	31.69	9.99	27.17	20.32
BIOINTA1005	26.85	36.42	5.76	15.07	34.49
BIOINTA2004	35.42	48.15	7.48	20.12	45.45
BuckBaqueano	26.68	50.59	17.15	46.46	31.34
BuckBrasil	26.71	37.1	6.47	16.48	33.83
BuckHuanchen	15.38	28.38	9	24.72	17.25
BuckNorteno	16.99	30.59	9.44	25.73	19.09
BuckPuelche	13.25	32.13	11.59	29.61	20.5
Bulel	34.06	33.61	0	0	32.28
CATEDRAL	29.05	31.4	0	0.31	30
DMarioAtlax	27.51	37	5.38	14.71	34.76
DonPedro	33.21	33.04	0	0.29	31.56
Escacena	17.77	30.63	8.92	24.26	19.29
HT435	34.25	33.72	0	0	32.39
HT444	33.08	32.85	0	0	31.4
HT460	33.42	23.81	0	0.77	25.08
INIACondor	26.39	35.2	5.17	14	33.45
Jerezano	17.64	28.87	8.5	22.43	19.69
KleinDonEnrique	17.31	32.03	10.26	27.97	19.62
KleinGavilan	16.63	30.23	9.45	25.75	18.7
KleinLeon	26.4	36.6	6.14	16.21	33.41
KleinRayo	26.78	35.08	4.47	12.51	33.51
KleinRendidor	27.64	49.49	15.71	43.26	30.72
KleinTigre	25.38	36.12	4.77	13.27	34.46
MarcosJuarez	31.53	42.98	7.31	18.84	39.47
OlaetaArtillero	26.69	50.48	18.79	48.15	32.21
proINTAGaucho	17.4	29.47	9.07	24.23	20.01
proINTAGranar	13.16	31.03	11.1	28.08	19.83
proINTAGuazu	26.34	36.07	5.72	15.25	33.1
proINTAOasis	17.46	30.03	8.8	24.31	19.01
RelmoSiriri	27.19	34.64	3.66	11.27	32.98
THA85	27.63	31.39	0	3.83	32.48
XEIXA	17.51	31.27	10.83	27.32	19.87
