Genotype	DQ2.5_glia_g1	DQ2.5_glia_g2a	DQ2.5_glia_g2b	DQ2.5_glia_g3	DQ2.5_glia_g4a	DQ2.5_glia_g4b	DQ2.5_glia_g4c	DQ2.5_glia_g4d	DQ2.5_glia_g4e	DQ2.5_glia_g5	DQ2.5_glia_w1	DQ2.5_hor_2
ACA201	92.08	27.12	57.52	57.52	15.05	21.3	220.65	11.62	25.48	52.97	4.33	0
ACA202	98.27	20.69	53.65	53.65	23.77	27.16	206.21	9.78	28.14	61.49	4.39	0
ACA321	90.13	23.84	65.5	65.5	11.5	14.37	206.67	9.33	15.68	37.46	3.25	0
ACA903B	88.81	46.35	32.3	32.3	32.3	22.01	204.53	11	44.15	87.81	0	0.36
Antequera	92.05	27.29	51.25	51.25	15.15	18.42	218.3	7.92	20.57	46.65	7.92	0
ANZA	93.67	21.5	60	60	18.8	21.79	200.28	6.34	22.48	47.59	2.94	0
ARAGON03	89.37	25.59	57.3	57.3	17.59	17.65	215.21	9.42	23.15	56.37	4.39	0
ArturNick	89.08	26.19	62.15	62.15	11.65	16.11	209.45	8.01	17.23	43.93	3.1	0
Aucan	75.38	10.98	67.3	67.3	0	4.46	169.82	0	0	2.9	0	0
Baquette9	95.06	42.23	42.85	42.85	13.93	25.86	246.35	10.7	20.62	49.44	4.49	0
BIOINTA1001	85.47	28.16	36.95	36.95	36.95	28.72	168.65	6.92	45.04	89.24	0	0.27
BIOINTA1004	92.56	31.56	56.5	56.5	10.2	16.34	228.05	7.7	15.49	36.7	7.7	0
BIOINTA1005	96.79	23.5	59.67	59.67	19.2	21.18	212.84	5.83	24.44	47.17	2.61	0
BIOINTA2004	85.5	21.65	57.55	57.55	10.85	19.78	194.12	7.35	15.35	37.89	7.35	0
BuckBaqueano	87.19	59.15	23.8	23.8	23.8	18.05	237.42	10.55	37.04	80.92	0.57	0.3
BuckBrasil	95.6	38.24	47.05	47.05	14.65	22.61	238.26	10.99	21.22	45.54	3.82	0
BuckHuanchen	73.88	44.52	30.75	30.75	30.75	17.65	199.25	12.3	42.79	97.67	0	0
BuckNorteno	77.3	45.88	33.65	33.65	33.65	18.53	207.41	12.8	45.97	104.06	0	0.38
BuckPuelche	79.48	45.76	30	30	30	21.65	205.25	14.9	41.71	98.91	0	0
Bulel	72.14	14.25	61.95	61.95	0	2.21	168.72	0	0	4.42	0	0
CATEDRAL	65.61	17.27	53.1	53.1	0	2.73	161	0	0	5.46	0	0
DMarioAtlax	98.6	10.82	52.75	52.75	41.73	38.56	173.36	3.28	43.27	81.74	1.31	0
DonPedro	70.97	15.41	59.7	59.7	0	2.4	168.62	0	0	4.8	0	0
Escacena	91.24	31.37	47.3	47.3	17.46	24.47	212.08	8.67	21.7	50.92	3.44	0
HT435	67.2	13.31	57.05	57.05	0	1.83	157.86	0	0	3.66	0	0
HT444	65.56	13.23	56.25	56.25	0	2.24	153.66	0	0	4.48	0	0
HT460	68.54	11.49	60.5	60.5	0	1.89	156.61	0	0	3.78	0	0
INIACondor	85.84	35.36	36.6	36.6	36.6	29.16	195.73	10.38	46.25	103.91	0	0.26
Jerezano	87.56	22.08	53.15	53.15	17.37	20.01	207.73	8.55	22.68	56.07	8.55	0
KleinDonEnrique	87.9	52.35	26.35	26.35	26.35	20.8	236.54	7.07	38.44	82.73	7.32	0.3
KleinGavilan	89.47	33.57	33.05	33.05	33.05	29.87	193.12	6.58	40.07	82.94	0	0.27
KleinLeon	99.68	33.94	55.6	55.6	11.3	28.99	250.68	9.24	20.36	40.7	9.24	0
KleinRayo	96.02	22.84	57.1	57.1	18.3	24.84	210.22	7.1	25.7	51.29	3.33	0
KleinRendidor	98.56	24.43	56.6	56.6	13.35	21.8	227.91	10.01	20.28	51.33	10.01	0
KleinTigre	78.83	45.18	28.3	28.3	28.3	25.68	222.6	11.15	41.93	106	11.15	0.58
MarcosJuarez	91.13	20.89	50.05	50.05	23.35	25.75	202.18	10.12	27.55	66.12	3.29	0
OlaetaArtillero	94.31	26.11	54.15	54.15	16.25	19.19	215.03	11.58	21.76	48.06	5.34	0
proINTAGaucho	96.28	6.67	56.55	56.55	44.2	35.33	161.48	3.32	45.95	85.14	1.46	0
proINTAGranar	89.9	34.36	35.7	35.7	35.7	26.21	192.49	7.24	41.81	79.63	0	0.26
proINTAGuazu	86.24	49.29	27.1	27.1	27.1	21.73	228.13	6.8	38.78	83.23	7.11	0.28
proINTAOasis	76.26	52.65	29.3	29.3	29.3	17.35	215.85	14.7	44	104.68	0	0.39
RelmoSiriri	94.35	18.15	63.45	63.45	17.9	19.63	198.53	4.73	21.5	45.45	1.96	0
THA85	90.61	25.65	52.2	52.2	25.05	19.93	190.68	5.15	30.44	61.31	0	0
XEIXA	89.46	28.45	53.66	53.66	16.15	17.09	215.98	10.56	23.04	56.6	3.61	0
