	BW208_alpha	BW208.1_alpha	BW208.2_alpha	BW208_gamma	BW208.1_gamma	BW208.2_gamma
DQ2.5_glia_a1a	8200.45917	804.8985362999999	460.40062069999993	0.0	0.0	0.0
DQ2.5_glia_a1b	5781.187599999999	484.84966	303.69423	0.0	0.0	0.0
DQ2.5_glia_a2	12177.3887	1047.01783	639.22739	0.0	0.0	0.0
DQ2.5_glia_a3	7384.547570000001	735.4689563	425.0354206999999	0.0	0.0	0.0
DQ2.5_glia_g1	0.0	0.0	0.0	21056.82832	2584.360441	1663.421858
DQ2.5_glia_g2	0.0	0.0	0.0	13500.9179	1619.3875300000002	1086.37732
DQ2.5_glia_g2a	0.0	0.0	0.0	29373.07162	3370.065171	2563.7114109999998
DQ2.5_glia_g2b	0.0	0.0	0.0	3379.3834	445.16794	211.0821
DQ2.5_glia_g3	0.0	0.0	0.0	3379.3834	445.16794	211.0821
DQ2.5_glia_g4a	0.0	0.0	0.0	1285.98	172.933	98.335
DQ2.5_glia_g4b	0.0	0.0	0.0	8246.3882	916.2029600000001	678.5459699999999
DQ2.5_glia_g4c	0.0	0.0	0.0	96903.52608000001	11595.186774	8133.280423999999
DQ2.5_glia_g4d	0.0	0.0	0.0	6372.35	750.4200000000001	538.237
DQ2.5_glia_g4e	0.0	0.0	0.0	5796.1117	684.76397	510.30224999999996
DQ2.5_glia_g5	0.0	0.0	0.0	22839.7241	2533.86189	2034.8748899999998
DQ2.5_glia_w1	0.0	0.0	0.0	7205.138	849.1766	625.3445
DQ2.5_glia_w2	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.5_glut_L1	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.5_glut_L2	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.5_hor_1	0.0	0.0	0.0	7205.138	849.1766	625.3445
DQ2.5_hor_2	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.5_hor_3a	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.5_hor_3b	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.5_sec_1	0.0	0.0	0.0	7205.138	849.1766	625.3445
DQ2.5_sec_2	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.5_sec_3	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.5_ave_1a	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.5_ave_1b	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.5_ave_1c	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.2_glut_L1	0.0	0.0	0.0	0.0	0.0	0.0
DQ2.2_glia_a1	20879.430360000002	2177.0320133	1366.1708437	0.0	0.0	0.0
DQ2.2_glia_a2	6649.299170000001	584.0547363000001	345.4043207	0.0	0.0	0.0
DQ8_glia_a1	10887.1914818	1116.3475560000002	746.71975	0.0	0.0	0.0
DQ8_glia_g1a	0.0	0.0	0.0	96903.52608000001	11595.186774	8133.280423999999
DQ8_glia_g1b	0.0	0.0	0.0	3379.3834	445.16794	211.0821
DQ8_glia_g2	0.0	0.0	0.0	21056.82832	2584.360441	1663.421858
DQ8_glut_H1	0.0	0.0	0.0	0.0	0.0	0.0
DQ8.5_glia_a1	10887.1914818	1116.3475560000002	746.71975	0.0	0.0	0.0
DQ8.5_glia_g1	0.0	0.0	0.0	21056.82832	2584.360441	1663.421858
DQ8.5_glut_H1	0.0	0.0	0.0	0.0	0.0	0.0
p31-43	1908.374445	265.51565650000003	140.3593418	0.0	0.0	0.0
