	1	2	3	4	5	6	7	8	9	mean	sd
BuckBaqueano	0.02	0.026	0.029	0.031	0.032	0.033	0.034	0.035	0.035	0.030555555555555558	0.004927248499698162
KleinRendidor	0.018	0.025	0.028	0.03	0.031	0.032	0.032	0.033	0.033	0.029111111111111112	0.004910306620885413
KleinTigre	0.018	0.025	0.028	0.03	0.031	0.032	0.032	0.033	0.033	0.029111111111111112	0.004910306620885413
OlaetaArtillero	0.018	0.023	0.026	0.028	0.029	0.03	0.031	0.031	0.032	0.027555555555555552	0.004558264777059114
KleinDonEnrique	0.017	0.023	0.026	0.027	0.028	0.029	0.03	0.03	0.031	0.026777777777777775	0.004409585518440984
Baquette9	0.016	0.022	0.025	0.026	0.027	0.028	0.029	0.029	0.03	0.025777777777777774	0.004409585518440984
ACA201	0.016	0.021	0.024	0.026	0.027	0.027	0.028	0.028	0.029	0.025111111111111112	0.004196559437338056
proINTAGuazu	0.016	0.021	0.024	0.026	0.027	0.027	0.028	0.028	0.029	0.025111111111111112	0.004196559437338056
ACA202	0.016	0.021	0.023	0.025	0.026	0.027	0.027	0.028	0.028	0.024555555555555556	0.003972125095937661
KleinLeon	0.016	0.021	0.023	0.025	0.026	0.027	0.027	0.028	0.028	0.024555555555555556	0.003972125095937661
BIOINTA2004	0.014	0.019	0.021	0.022	0.023	0.024	0.024	0.025	0.025	0.02188888888888889	0.003551212625443753
proINTAOasis	0.014	0.019	0.021	0.022	0.023	0.024	0.024	0.025	0.025	0.02188888888888889	0.003551212625443753
BIOINTA1004	0.014	0.018	0.02	0.022	0.022	0.023	0.024	0.024	0.024	0.02122222222222222	0.0033829638550307403
BuckNorteno	0.013	0.017	0.02	0.021	0.022	0.022	0.023	0.023	0.023	0.020444444444444442	0.0033952581312438933
Antequera	0.013	0.017	0.02	0.021	0.022	0.022	0.023	0.023	0.023	0.020444444444444442	0.0033952581312438933
BuckBrasil	0.013	0.017	0.02	0.021	0.022	0.022	0.023	0.023	0.023	0.020444444444444442	0.0033952581312438933
ACA903B	0.012	0.017	0.019	0.02	0.021	0.021	0.022	0.022	0.023	0.019666666666666666	0.003391164991562634
Jerezano	0.012	0.017	0.019	0.02	0.021	0.021	0.022	0.022	0.023	0.019666666666666666	0.003391164991562634
MarcosJuarez	0.012	0.016	0.018	0.019	0.02	0.021	0.021	0.021	0.022	0.018888888888888886	0.003179797338056486
proINTAGranar	0.012	0.016	0.018	0.019	0.02	0.021	0.021	0.021	0.022	0.018888888888888886	0.003179797338056486
XEIXA	0.012	0.016	0.018	0.019	0.02	0.021	0.021	0.021	0.022	0.018888888888888886	0.003179797338056486
BuckPuelche	0.012	0.016	0.018	0.019	0.02	0.021	0.021	0.021	0.022	0.018888888888888886	0.003179797338056486
INIACondor	0.012	0.015	0.017	0.018	0.019	0.02	0.02	0.02	0.021	0.018000000000000002	0.002915475947422651
KleinGavilan	0.012	0.015	0.017	0.018	0.019	0.02	0.02	0.02	0.021	0.018000000000000002	0.002915475947422651
ARAGON03	0.011	0.015	0.016	0.018	0.018	0.019	0.019	0.02	0.02	0.017333333333333333	0.0029154759474226506
Escacena	0.011	0.015	0.016	0.018	0.018	0.019	0.019	0.02	0.02	0.017333333333333333	0.0029154759474226506
BuckHuanchen	0.011	0.015	0.016	0.018	0.018	0.019	0.019	0.02	0.02	0.017333333333333333	0.0029154759474226506
BIOINTA1001	0.011	0.015	0.016	0.018	0.018	0.019	0.019	0.02	0.02	0.017333333333333333	0.0029154759474226506
BIOINTA1005	0.01	0.014	0.016	0.017	0.017	0.018	0.018	0.019	0.019	0.016444444444444442	0.002877112750272011
ACA321	0.01	0.014	0.016	0.017	0.017	0.018	0.018	0.019	0.019	0.016444444444444442	0.002877112750272011
ArturNick	0.01	0.014	0.016	0.017	0.017	0.018	0.018	0.019	0.019	0.016444444444444442	0.002877112750272011
KleinRayo	0.01	0.013	0.015	0.016	0.017	0.017	0.018	0.018	0.018	0.01577777777777778	0.0027284509239574833
ANZA	0.01	0.013	0.015	0.016	0.017	0.017	0.018	0.018	0.018	0.01577777777777778	0.0027284509239574833
proINTAGaucho	0.01	0.013	0.015	0.016	0.017	0.017	0.018	0.018	0.018	0.01577777777777778	0.0027284509239574833
DMarioAtlax	0.01	0.013	0.014	0.015	0.016	0.016	0.017	0.017	0.017	0.015000000000000001	0.0023452078799117153
RelmoSiriri	0.008	0.011	0.013	0.014	0.014	0.015	0.015	0.015	0.015	0.013333333333333332	0.00239791576165636
THA85	0.007	0.009	0.01	0.011	0.012	0.012	0.012	0.012	0.013	0.010888888888888887	0.0019002923751652299
DonPedro	0.004	0.005	0.005	0.006	0.006	0.006	0.006	0.006	0.006	0.005555555555555555	0.000726483157256779
Bulel	0.004	0.005	0.005	0.006	0.006	0.006	0.006	0.006	0.006	0.005555555555555555	0.000726483157256779
HT435	0.004	0.005	0.005	0.006	0.006	0.006	0.006	0.006	0.006	0.005555555555555555	0.000726483157256779
HT444	0.004	0.005	0.005	0.006	0.006	0.006	0.006	0.006	0.006	0.005555555555555555	0.000726483157256779
CATEDRAL	0.003	0.004	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.004666666666666666	0.0007071067811865476
Aucan	0.003	0.004	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.004666666666666666	0.0007071067811865476
HT460	0.002	0.003	0.004	0.004	0.004	0.004	0.004	0.004	0.005	0.003777777777777778	0.0008333333333333333
