Amplicon	ACA201	ACA202	ACA321	ACA903B	Antequera	ANZA	ARAGON03	ArturNick	Aucan	Baquette9	BIOINTA1001	BIOINTA1004	BIOINTA1005	BIOINTA2004	BuckBaqueano	BuckBrasil	BuckHuanchen	BuckNorteno	BuckPuelche	Bulel	CATEDRAL	DMarioAtlax	DonPedro	Escacena	HT435	HT444	HT460	INIACondor	Jerezano	KleinDonEnrique	KleinGavilan	KleinLeon	KleinRayo	KleinRendidor	KleinTigre	MarcosJuarez	OlaetaArtillero	proINTAGaucho	proINTAGranar	proINTAGuazu	proINTAOasis	RelmoSiriri	THA85	XEIXA
AJ133607	0	0	0	0	0	0	2.24	2.31	5.07	2.81	0	0	2.19	2.84	0	2.08	0	0	0	0	0	2.33	0	0	0	0	5.53	2.17	0	0	0	2.21	2.17	0	2.16	2.51	0	0	0	2.1	0	2.14	2.17	0
Amp_28	0	0	0	0.91	0	0.89	0	0	0	0.78	0	0	0.73	0.87	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0.61	0.87	0	0	0	0.48	0	0.51	0.63	0	0	0	0	0	0	0	0
Amp_38	0.38	0.43	0	0	0.29	0.27	0	0	0	0	0.3	0.32	0	0	0.5	0	0	0.27	0.28	0	0	0	0	0.27	0	0	0	0	0.27	0.3	0.28	0	0	0.42	0	0	0.4	0.28	0.26	0	0	0	0	0.27
Amp_68	0	0	0	0.28	0	0.26	0	0	0	0.28	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0
Amp_107	4.87	4.42	2.87	3.08	3.09	3.3	1.84	1.92	0.44	2.59	2.9	3.08	1.94	2.46	4.73	1.99	2.87	3.23	3.22	0.75	0.71	1.98	0.76	3.38	0.73	0.71	0.4	1.9	3.32	3.19	3.23	1.89	1.96	4.81	1.77	2.19	4.54	2.96	3.23	1.84	3.09	1.9	1.87	3.01
Amp_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33	1.4	0	1.48	0	1.33	1.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51	2.35	0	2.58	0	2.43	2.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_131	0.33	0.38	0.27	0	0.15	0	0.89	0.84	0.72	0.89	0	0	0.4	0.85	0	0.47	0	0	0	0	0.31	0.55	0.29	0	0	0	0.77	0.6	0	0	0	0.53	0.53	0.28	0.62	0.84	0.29	0	0	0.54	0.15	0.57	0.84	0
Amp_132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68	2.37	0	2.55	0	2.84	2.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.58	4.75	0	4.6	0	4.24	4.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0.38	0	0.41	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54	2.25	0	2.25	0	2.49	2.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0.67	0	0.73	0	0.65	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_143 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0.66	0	0.74	0	0.64	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0.33	0	0.31	0	0.28	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.5	0	0.52	0	0.4	0.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_174	0	0	0	0	0	0	2.19	2.29	0.41	3.13	0	0	2.44	4.87	0	2.61	0	0	0	0	0	2.38	0	0	0	0	0.43	2.36	0	0	0	4.04	2.44	0	2.5	2.68	0	0	0	2.44	0	2.54	2.4	0
Amp_193	0	0	0.41	0.45	0.41	0.38	0.32	0.29	0.31	0	0.38	0.38	0	0	0	0	0.28	0.33	0.37	0.34	0.36	0.27	0.39	0.36	0.32	0.34	0.36	0	0.4	0.36	0.36	0	0	0	0.28	0	0	0.38	0.36	0	0.39	0.27	0.29	0.44
Amp_196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72	2.99	0	3.14	0	2.61	2.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87	2.77	0	2.77	0	2.92	2.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18	3	0	3.09	0	3.39	3.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amp_211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.11	0	0	0	8.14	0	0	0	0	0
Amp_295	0	0.27	0	0.27	0.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0	0	0.26	0	0	0	0	0.27	0	0	0.3	0	0	0	0	0	0	0.29
Amp_325	0.32	0.43	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0.39	0.14	0	0	0.27	0	0	0
Amp_333	0	0	0	0	0	0	0	0.27	0.58	0.29	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0.57	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0.26	0
Amp_338	0	0	0	0	0	0	4.24	4.1	0	5.82	0	0	4.31	5.91	0	4.36	0	0	0	0	0	4.31	0	0	0	0	0	4.29	0	0	0	4.37	4.38	0	4.31	5.12	0	0	0	4.35	0	4.22	4.69	0
Amp_347	0	0	0.51	0.57	0.5	0.55	0.38	0.37	0.43	0	0.55	0.49	0.32	0	0	0.32	0.47	0.49	0.5	0.41	0.44	0.37	0.43	0.53	0.38	0.4	0.45	0.34	0.53	0.51	0.47	0.3	0.34	0	0.4	0.2	0	0.54	0.5	0.33	0.5	0.35	0.4	0.57
Amp_348	0	0	0	0	0	0	0.4	0.43	0.52	0.46	0	0	0.35	0.42	0	0.4	0	0	0	0	0	0.38	0	0	0	0	0.51	0.36	0	0	0	0.34	0.35	0	0.41	0.39	0	0	0	0.38	0	0.38	0.37	0
Amp_357	0	0	0	0	0	0	2.23	2.38	2.49	3.11	0	0	2.41	2.95	0	2.26	0	0	0	2.92	2.72	2.34	2.68	0	2.96	2.79	2.62	2.29	0	0	0	2.34	2.38	0	2.34	2.57	0	0	0	2.27	0	2.43	2.48	0
Amp_358	0	0	0	0	0	0	0.81	0.8	0.57	0.9	0	0	0.66	0.86	0	0.58	0	0	0	0	0	0.66	0	0	0	0	0.76	0.68	0	0	0	0.61	0.63	0	0.68	0.85	0	0	0	0.65	0	0.68	0.72	0
Amp_362	0	0	0	0	0	0	0.64	0.61	2.81	0.76	0	0	0.58	0.73	0	0.6	0	0	0	0	0	0.54	0	0	0	0	2.83	0.59	0	0	0	0.56	0.61	0	0.63	0.68	0	0	0	0.64	0	0.69	0.55	0
Amp_375	0	0	4.92	5.22	4.71	5.07	3.7	3.35	4.25	0	4.48	4.1	2.7	0	0	3.12	4.3	4.31	4.56	4.05	4.12	3.19	4.05	5.01	4.08	3.98	4.13	3.13	5.38	4.63	4.77	3.04	3.23	0	3.66	1.66	0	4.64	4.62	3.3	4.64	3.4	4.02	5.31
Amp_379	0	0	3.67	3.84	3.56	3.82	2.67	2.47	3.24	0	3.46	3.26	2.09	0	0	2.12	3.15	3.36	3.43	2.93	3.13	2.54	3.02	3.46	2.78	2.89	3.18	2.34	3.69	3.41	3.37	2.2	2.29	0	2.66	1.27	0	3.61	3.51	2.38	3.5	2.47	2.78	3.88
Amp_383	0	0	0	0	0	0	2.13	2.17	5.37	2.96	0	0	2.04	2.86	0	2.15	0	0	0	0	0	2.2	0	0	0	0	5.79	2.13	0	0	0	2.09	1.99	0	2.23	2.37	0	0	0	1.96	0	1.98	2.17	0
Amp_386	0	0	0	0	0	0	1.96	1.94	2.28	0	0	0	1.66	2.52	0	0	0	0	0	0	0	1.85	0	0	0	0	2.38	1.86	0	0	0	1.78	1.85	0	3.82	2.17	0	0	0	1.88	0	2.04	2.11	0
Amp_389	0	0	0	0	0	0	1.97	2.05	0	2.54	0	0	1.98	2.74	0	1.99	0	0	0	0	0	2.15	0	0	0	0	0	2.04	0	0	0	2.09	2.09	0	2.2	2.23	0	0	0	2.07	0	2.04	2.18	0
DQ246446	0	0	0	0	0	0	3.01	3.34	4.76	4.68	0	0	3.46	4.55	0	3.62	0	0	0	6.68	5.72	3.54	5.91	0	6.36	6.12	5.06	3.41	0	0	0	3.5	3.52	0	2.06	3.69	0	0	0	3.44	0	3.52	3.37	0
EF569971	0	0	0	0	0	0	1.66	0	0	2.63	0	0	0	2.67	0	2.05	0	0	0	0	0	2.02	0	0	0	0	0	0	0	0	0	2.06	0	0	0	3.08	0	0	0	1.96	0	0	2.96	0
EU018293	0	0	0	0	0	0	0.51	0.51	0	0.57	0	0	0.46	0.52	0	0.45	0	0	0	0	0	0.47	0	0	0	0	0	0.45	0	0	0	0.45	0.49	0	0.75	0.45	0	0	0	0.45	0	0.51	0.48	0
JN831389.1	0	0	0	0	0	0	2.39	2.35	2.42	3.13	0	0	2.49	3.23	0	2.36	0	0	0	0	0	2.32	0	0	0	0	2.39	2.41	0	0	0	2.19	2.36	0	2.52	2.78	0	0	0	2.27	0	2.44	2.57	0
JX828212.1	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0.28	0	0	0	0	0	0	0
JX828263.1	0	0	0	0	0	0	0.89	0.86	0	0.88	0	0	0.64	0.82	0	0.4	0	0	0	0	0	0.63	0	0	0	0	0	0.55	0	0	0	0.48	0.51	0	0.63	0.85	0	0	0	0.6	0	0.56	0.71	0
JX828313.1	0	0	0	0	0	0	0	0	0.38	0	0	0	0	0	0	0	0	0	0	0.5	0.61	0	0.58	0	0.48	0.62	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KC715890.1	0	0	0	0	0	0	1.88	1.98	1.9	2.6	0	0	1.96	0.66	0	1.88	0	0	0	0.85	0.92	1.96	0.96	0	0.82	0.91	2.2	1.95	0	0	0	0.58	1.97	0	3.45	0.68	0	0	0	2.01	0	1.9	0.63	0
KC715915.1	0	0	0	0	0	0	1.45	1.43	0	1.98	0	0	1.48	2.02	0	1.43	0	0	0	0	0	1.35	0	0	0	0	0	1.5	0	0	0	1.42	1.41	0	1.42	1.73	0	0	0	1.49	0	1.42	1.64	0
KC715927.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55	2.36	0	2.47	0	2.73	2.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KJ410476.1	0	0	0	0	0	0	0.45	1.87	1.95	0.75	0	0	2.29	0.71	0	0.55	0	0	0	0	0	0.52	0	0	0	0	1.81	2.01	0	0	0	0.48	2.02	0	0	0.3	0	0	0	0.53	0	2.04	0.33	0
KX452085.1	0	0	0	0	0	0	0	0.47	0.56	0.31	0	0	0.54	0.29	0	0.27	0	0	0	0	0	0.27	0	0	0	0	0.48	0.48	0	0	0	0.27	0.51	0	0	0	0	0	0	0.27	0	0.49	0	0
LT627577.1	0	0	0	0	0	0	0.27	0.28	0	0.28	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0	0.15	0	0	0	0	0	0	0.27	0
LT627586.1	0.82	0.86	0.4	0.41	0.43	0.34	0.33	0.3	0.27	0.51	0.43	0.34	0	0.45	0.84	0	0.27	0.31	0.34	0.32	0.34	0.27	0.33	0.36	0.31	0.31	0.33	0	0.36	0.3	0.3	0	0	0.93	0.27	0.27	0.8	0.38	0.37	0	0.39	0.13	0.28	0.43
LT627589.1	7.88	7.77	1.38	1.44	1.36	1.37	1.02	0.94	1.04	4.34	1.36	1.56	0.87	4.34	8.17	0.81	1.04	1.31	1.36	1.22	1.17	0.97	1.18	1.29	1.19	1.25	1.29	0.86	1.26	1.24	1.27	0.8	0.81	8.27	0.9	2.5	7.21	1.4	1.36	0.85	1.42	0.84	0.96	1.38
TAU51309	8.36	8.63	0	0	0	0	0	0	0	4.62	0	0	0	4.86	8.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.15	0	2.34	8.4	0	0	0	0	0	0	0
TAU51310	0	0	0	0	0	0	0.52	0.5	0.4	0.55	0	0	0.4	0.55	0	0.41	0	0	0	0	0	0.47	0	0	0	0	0.34	0.41	0	0	0	0.45	0.52	0	0.49	0.47	0	0	0	0.48	0	0.5	0.57	0
TraesCS6A02G048900	1.17	1.17	0.43	0.53	0.61	0.42	0	0	0	0	0.66	0.5	0	0	0.53	0	0.3	0.44	0.49	0	0	0	0	0.47	0	0	0	0	0.42	0.31	0.4	0	0	0.53	0	0	0.7	0.44	0.47	0	0.54	0	0	0.45
