Amplicon	ACA201	ACA202	ACA321	ACA903B	Antequera	ANZA	ARAGON03	ArturNick	Aucan	Baquette9	BIOINTA1001	BIOINTA1004	BIOINTA1005	BIOINTA2004	BuckBaqueano	BuckBrasil	BuckHuanchen	BuckNorteno	BuckPuelche	Bulel	CATEDRAL	DMarioAtlax	DonPedro	Escacena	HT435	HT444	HT460	INIACondor	Jerezano	KleinDonEnrique	KleinGavilan	KleinLeon	KleinRayo	KleinRendidor	KleinTigre	MarcosJuarez	OlaetaArtillero	proINTAGaucho	proINTAGranar	proINTAGuazu	proINTAOasis	RelmoSiriri	THA85	XEIXA
AT7_3-6	7.21	0	4.6	0	0	0	6.18	5.56	0	7.04	0	0	0	0	0	6.42	14.8	15.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.88	0	0	0	15	0	0	6.49
BW-9	0.73	0	0.28	0	0	0	0.55	0.33	0	0	0	0	0	0	0	0.46	1.02	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88	0	0	0	0.73	0	0	0.35
BW-26	2.59	0	1.56	0	0	0	2.88	1.59	0	0	0	0	0	0	0	0	0.83	6.42	5.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0.83	0	0.3	0.29	0	0	2.52
BW-30	0.46	0.32	0.52	1.69	0.47	0	0.31	0.44	0	0.4	0.43	0.27	0	0.32	0.92	0.42	1.77	0.82	1.01	0	0	0.27	0	0.33	0	0	0	0.72	0.39	0.64	0.77	0	0.32	0.39	1.83	0.41	0.53	0	0.35	1.27	1.4	0.39	0.52	0.85
BW-32	3.41	0.39	1.98	0	0	1.66	0.26	1.96	3.01	0.26	0	2.25	2.38	2.92	0	0	0	0	0	0	0	0.3	0	2.29	0	0	0	0	0	0	0	3.3	2.45	0.27	0	0	0.38	0	0	0	0	1.34	0	0.39
D64-2_45	0	0.52	0	0	0	0	0	0	0	0.17	0	0	0	0	0.57	0	0	0	0	0	0	0	0	0.27	0	0	0	0	0	0.25	0	0	0	0	0	0	0.47	0	0	0.31	0	0.27	0	0
D64-2_48	0	3.54	0	0	2.69	0	2.94	0	0	3.56	0	0	0	0	0	3.48	0	0	0	0.36	0.7	1.24	0.66	0	0.5	0.56	0.33	0	3.58	0	0	0	0	4.32	0	3.4	4.95	0.79	0	0	0	0	0.26	3.94
EU863818	0	0	0	0	0	0	0	0	0	7.82	0	0	0	0	0	7.77	0	0	0	0	0	2.12	0	0	0	0	0	0	0	0	0	7.29	0	0	0	0	0	0	0	0	0	0	0	0
FJ006594	0.33	2.8	0	11.65	9.4	4.8	0.31	0.33	3.62	8.88	5.06	9.88	8.95	0	21.85	8.42	0.68	0.38	0.87	7.62	9.08	1.98	8.21	8.81	7.82	6.51	5.82	0.31	0	21.1	12.95	6.53	6.28	2.92	0	0	3.8	0	14.9	18.45	0.29	4.37	7.68	0.49
T545-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0.38	0.4	0	0	0
